docket_no,sex,race
MC-51-CR-0006450-2020,Male,White
MC-51-CR-0014204-2020,Male,Black
MC-51-CR-0022468-2020,Female,Black
MC-51-CR-0020709-2020,Male,Black
MC-51-CR-0016165-2020,Male,White
MC-51-CR-0001901-2020,Male,White
MC-51-CR-0004731-2020,Male,Black
MC-51-CR-0004557-2020,Male,Black
MC-51-CR-0003496-2020,Male,White
MC-51-CR-0016303-2020,Male,Black
MC-51-CR-0014062-2020,Male,Black
MC-51-CR-0008449-2020,Male,Black
MC-51-CR-0003806-2020,Female,Black
MC-51-CR-0006636-2020,Male,Black
MC-51-CR-0000758-2020,Female,Black
MC-51-CR-0021950-2020,Female,Black
MC-51-CR-0005968-2020,Male,Black
MC-51-CR-0002439-2020,Male,Black
MC-51-CR-0009876-2020,Male,Black
MC-51-CR-0009680-2020,Male,Black
MC-51-CR-0016302-2020,Female,Black
MC-51-CR-0004556-2020,Male,Black
MC-51-CR-0003497-2020,Male,White
MC-51-CR-0006637-2020,Male,Black
MC-51-CR-0014063-2020,Male,Black
MC-51-CR-0008448-2020,Male,Black
MC-51-CR-0003807-2020,Male,Black
MC-51-CR-0014205-2020,Female,Black
MC-51-CR-0022469-2020,Male,Black
MC-51-CR-0001590-2020,Male,White
MC-51-CR-0006451-2020,Male,Black
MC-51-CR-0004730-2020,Male,Black
MC-51-CR-0020708-2020,Male,Black
MC-51-CR-0016164-2020,Male,White
MC-51-CR-0001900-2020,Male,Black
MC-51-CR-0020322-2020,Male,Black
MC-51-CR-0018731-2020,Male,Black
MC-51-CR-0022043-2020,Male,White
MC-51-CR-0008204-2020,Male,Black
MC-51-CR-0013588-2020,Male,Black
MC-51-CR-0022225-2020,Male,White
MC-51-CR-0014449-2020,Male,White
MC-51-CR-0008062-2020,Female,White
MC-51-CR-0018557-2020,Male,Black
MC-51-CR-0013918-2020,Male,Black
MC-51-CR-0016728-2020,Male,Black
